State_Center,Act_Center,Reward_Center,NextState_Center,Done,Cost_Center,Weight,Probability
"[-0.445, 0.02500000000000002]",[-0.09500000000000008],[1.105],"[-0.435, 0.02500000000000002]",False,[50.0],1,0.034482758620689655
"[-0.435, 0.02500000000000002]",[-0.42500000000000004],[1.045],"[-0.435, 0.03499999999999997]",False,[50.0],6,0.3
"[-0.435, 0.03499999999999997]",[-0.275],[1.055],"[-0.425, 0.03499999999999997]",False,[50.0],2,0.07692307692307693
"[-0.425, 0.03499999999999997]",[-0.06500000000000006],[1.085],"[-0.425, 0.03499999999999997]",False,[50.0],1,0.03571428571428571
"[-0.425, 0.03499999999999997]",[-0.3850000000000001],[1.075],"[-0.41500000000000004, 0.04499999999999998]",False,[50.0],11,0.39285714285714285
"[-0.41500000000000004, 0.04499999999999998]",[-0.2450000000000001],[1.065],"[-0.405, 0.04499999999999998]",False,[50.0],3,0.11538461538461539
"[-0.405, 0.04499999999999998]",[-0.3450000000000001],[1.025],"[-0.405, 0.054999999999999986]",False,[50.0],4,0.14814814814814814
"[-0.405, 0.054999999999999986]",[-0.07500000000000007],[1.015],"[-0.395, 0.054999999999999986]",False,[50.0],9,0.3103448275862069
"[-0.395, 0.054999999999999986]",[-0.03500000000000004],[1.045],"[-0.385, 0.054999999999999986]",False,[50.0],13,0.48148148148148145
"[-0.385, 0.054999999999999986]",[-0.5150000000000001],[1.005],"[-0.375, 0.065]",False,[50.0],5,0.16666666666666666
"[-0.375, 0.065]",[0.10499999999999987],[0.975],"[-0.365, 0.065]",False,[50.0],14,0.4666666666666667
"[-0.365, 0.065]",[-0.5650000000000001],[0.995],"[-0.355, 0.07500000000000001]",False,[50.0],8,0.25806451612903225
"[-0.355, 0.07500000000000001]",[-0.04500000000000005],[1.015],"[-0.345, 0.07500000000000001]",False,[50.0],6,0.24
"[-0.345, 0.07500000000000001]",[-0.1150000000000001],[1.005],"[-0.32499999999999996, 0.07500000000000001]",False,[50.0],1,0.037037037037037035
"[-0.32499999999999996, 0.07500000000000001]",[-0.30500000000000005],[1.015],"[-0.31500000000000006, 0.08500000000000002]",False,[50.0],4,0.2
"[-0.31500000000000006, 0.08500000000000002]",[0.05500000000000004],[1.005],"[-0.30500000000000005, 0.08500000000000002]",False,[50.0],6,0.20689655172413793
"[-0.30500000000000005, 0.08500000000000002]",[-0.20500000000000007],[0.965],"[-0.28500000000000003, 0.09499999999999997]",False,[50.0],1,0.02857142857142857
"[-0.28500000000000003, 0.09499999999999997]",[-0.30500000000000005],[0.955],"[-0.275, 0.10499999999999998]",False,[50.0],1,0.125
"[-0.275, 0.10499999999999998]",[-0.16500000000000004],[0.945],"[-0.255, 0.10499999999999998]",False,[50.0],1,0.25
"[-0.255, 0.10499999999999998]",[-0.14500000000000002],[0.935],"[-0.235, 0.10499999999999998]",False,[50.0],1,0.25
"[-0.235, 0.10499999999999998]",[-0.1250000000000001],[0.935],"[-0.22499999999999998, 0.11499999999999999]",False,[50.0],1,0.2
"[-0.22499999999999998, 0.11499999999999999]",[-0.3350000000000001],[0.915],"[-0.20499999999999996, 0.125]",False,[50.0],1,1.0
"[-0.20499999999999996, 0.125]",[-0.20500000000000007],[0.905],"[-0.18500000000000005, 0.125]",False,[50.0],1,1.0
"[-0.18500000000000005, 0.125]",[-0.14500000000000002],[0.895],"[-0.16500000000000004, 0.135]",False,[50.0],1,1.0
"[-0.16500000000000004, 0.135]",[-0.28500000000000003],[0.885],"[-0.14500000000000002, 0.135]",False,[50.0],1,1.0
"[-0.14500000000000002, 0.135]",[-0.18500000000000005],[0.875],"[-0.11499999999999999, 0.14500000000000002]",False,[50.0],1,1.0
"[-0.11499999999999999, 0.14500000000000002]",[-0.17500000000000004],[0.865],"[-0.09499999999999997, 0.14500000000000002]",False,[50.0],1,0.5
"[-0.09499999999999997, 0.14500000000000002]",[-0.17500000000000004],[0.855],"[-0.07499999999999996, 0.15500000000000003]",False,[50.0],1,1.0
"[-0.07499999999999996, 0.15500000000000003]",[-0.30500000000000005],[0.845],"[-0.04500000000000005, 0.15500000000000003]",False,[50.0],1,1.0
"[-0.04500000000000005, 0.15500000000000003]",[-0.395],[0.825],"[-0.025000000000000026, 0.16500000000000004]",False,[50.0],1,1.0
"[-0.425, -0.03499999999999998]",[-0.32500000000000007],[1.195],"[-0.425, -0.025000000000000026]",False,[50.0],7,0.22580645161290322
"[-0.425, -0.025000000000000026]",[-0.3750000000000001],[1.175],"[-0.435, -0.015000000000000017]",False,[50.0],2,0.06896551724137931
"[-0.435, -0.015000000000000017]",[-0.3850000000000001],[1.135],"[-0.435, -0.005000000000000009]",False,[50.0],6,0.3157894736842105
