State,Act,Reward,NextState,Done,Cost,Weight,Probability
"[-0.4149576325, 0.04139378999999999]",[-0.246723105],[1.0687912702560425],"[-0.4080056575, 0.04756185499999998]",False,[0.0],3,0.11538461538461539
"[-0.40933501875, 0.04656772499999998]",[-0.345361385],[1.0221064567565918],"[-0.40142369499999997, 0.055201768750000005]",False,[0.0],4,0.14814814814814814
"[-0.4021839008984375, 0.0550945613671875]",[-0.07468825093749996],[1.0187270499765875],"[-0.3932692187109375, 0.056961695039062496]",False,[0.0],9,0.3103448275862069
"[-0.3950641233374023, 0.052197636682128914]",[-0.032271345883789056],[1.0441654601367192],"[-0.3866694534350586, 0.05300440464355469]",False,[0.0],13,0.48148148148148145
"[-0.384570025625, 0.054503976875]",[-0.5153901562500001],[1.0058692514896392],"[-0.375162205625, 0.06738873000000001]",False,[0.0],5,0.16666666666666666
"[-0.37430194971679687, 0.06742082989624024]",[0.10742254230468758],[0.9753042573458515],"[-0.3636578332348632, 0.0647352332006836]",False,[0.0],14,0.4666666666666667
"[-0.36696557249999995, 0.06278973226562501]",[-0.56262526625],[0.9925164751708508],"[-0.3561690206249999, 0.07685537601562495]",False,[0.0],8,0.25806451612903225
"[-0.3571024981249999, 0.07508770531249997]",[-0.04117773749999999],[1.0121200531721115],"[-0.34503358625, 0.07611716999999998]",False,[0.0],6,0.24
"[-0.34144545, 0.07644199999999998]",[-0.11391606999999998],[1.0000668525695802],"[-0.32906288, 0.07929002999999998]",False,[0.0],1,0.037037037037037035
"[-0.3263571875, 0.07626418749999997]",[-0.30240091375],[1.0134716272354127],"[-0.3137517275, 0.08382421875]",False,[0.0],4,0.2
"[-0.316992421875, 0.08497493718750003]",[0.05196035531250009],[1.0037907332181932],"[-0.3034656996875001, 0.08367593968750002]",False,[0.0],6,0.20689655172413793
"[-0.30225408000000004, 0.08956265000000001]",[-0.20170874],[0.9694361686706543],"[-0.28765517, 0.09460521]",False,[0.0],1,0.02857142857142857
"[-0.28765517, 0.09460521]",[-0.3057752],[0.9541474342346192],"[-0.27211058, 0.10224974]",False,[0.0],1,0.125
"[-0.27211058, 0.10224974]",[-0.16047818],[0.9461235046386718],"[-0.25553674, 0.10626160999999998]",False,[0.0],1,0.25
"[-0.25553674, 0.10626160999999998]",[-0.14213899],[0.9390165328979492],"[-0.23834532, 0.10981511999999999]",False,[0.0],1,0.25
